,createdAt,territories,departement
3536,2021-09,['95'],95
3537,2021-09,['78'],78
3538,2021-09,['95'],95
3539,2021-09,['13'],13
3540,2021-09,['06'],06
3541,2021-09,['91'],91
3542,2021-09,['78'],78
3543,2021-09,['13'],13
3544,2021-10,['77'],77
3545,2021-10,['77'],77
3546,2021-10,['13'],13
3547,2021-10,['13'],13
3548,2021-10,['13'],13
3549,2021-10,['13'],13
3550,2021-10,['13'],13
3551,2021-10,['92'],92
3552,2021-10,['13'],13
3553,2021-10,['13'],13
3554,2021-10,['13'],13
3555,2021-10,['15'],15
3556,2021-10,['44'],44
3557,2021-10,['75'],75
3558,2021-10,['75'],75
3559,2021-10,['13'],13
3560,2021-10,['44'],44
3561,2021-10,['67'],67
3562,2021-10,['06'],06
3563,2021-10,['06'],06
3564,2021-10,['06'],06
3565,2021-10,['83'],83
3566,2021-10,['91'],91
3567,2021-10,['67'],67
3568,2021-10,['91'],91
3569,2021-10,['67'],67
3570,2021-10,['75'],75
3571,2021-10,['77'],77
3572,2021-10,['13'],13
3573,2021-10,['13'],13
3574,2021-10,['06'],06
3575,2021-10,['13'],13
3576,2021-10,['13'],13
3577,2021-10,['67'],67
3578,2021-10,['36'],36
3579,2021-10,['36'],36
3580,2021-10,['36'],36
3581,2021-10,['77'],77
3582,2021-10,['36'],36
3583,2021-10,['77'],77
3584,2021-10,['77'],77
3585,2021-10,['77'],77
3586,2021-10,['13'],13
3587,2021-10,['36'],36
3588,2021-10,['92'],92
3589,2021-10,['13'],13
3590,2021-10,['13'],13
3591,2021-10,['95'],95
3592,2021-10,['13'],13
3593,2021-10,['44'],44
3594,2021-10,['06'],06
3595,2021-10,['13'],13
3596,2021-10,['93'],93
3597,2021-10,['94'],94
3598,2021-10,['75'],75
3599,2021-10,['94'],94
3600,2021-10,['06'],06
3601,2021-10,['13'],13
3602,2021-10,['94'],94
3603,2021-10,['77'],77
3604,2021-10,['95'],95
3605,2021-10,['75'],75
3606,2021-10,['67'],67
3607,2021-10,['78'],78
3608,2021-10,['95'],95
3609,2021-10,['13'],13
3610,2021-10,['13'],13
3611,2021-10,['35'],35
3612,2021-10,['35'],35
3613,2021-10,['35'],35
3614,2021-10,['13'],13
3615,2021-10,['67'],67
3616,2021-10,['13'],13
3617,2021-10,['44'],44
3618,2021-10,['94'],94
3619,2021-10,['13'],13
3620,2021-10,['13'],13
3621,2021-10,['91'],91
3622,2021-10,['13'],13
3623,2021-10,['13'],13
3624,2021-10,['13'],13
3625,2021-10,['13'],13
3626,2021-10,['77'],77
3627,2021-10,['13'],13
3628,2021-10,['91'],91
3629,2021-10,['77'],77
3630,2021-10,['13'],13
3631,2021-10,['95'],95
3632,2021-10,['2A'],2A
3633,2021-10,['77'],77
3634,2021-10,['77'],77
3635,2021-10,['94'],94
3636,2021-10,['94'],94
3637,2021-10,['94'],94
3638,2021-10,['77'],77
3639,2021-10,['75'],75
3640,2021-10,['35'],35
3641,2021-10,['93'],93
3642,2021-10,['67'],67
3643,2021-10,['67'],67
3644,2021-10,['67'],67
3645,2021-10,['75'],75
3646,2021-10,['76'],76
3647,2021-10,['77'],77
3648,2021-10,['06'],06
3649,2021-10,['77'],77
3650,2021-10,['44'],44
3651,2021-10,['44'],44
3652,2021-10,['44'],44
3653,2021-10,['44'],44
3654,2021-10,['44'],44
3655,2021-10,['77'],77
3656,2021-10,['94'],94
3657,2021-10,['06'],06
3658,2021-10,['06'],06
3659,2021-10,['77'],77
3660,2021-10,['76'],76
3661,2021-10,['63'],63
3662,2021-10,['63'],63
3663,2021-11,['06'],06
3664,2021-11,['33'],33
3665,2021-11,['44'],44
3666,2021-11,['33'],33
3667,2021-11,['91'],91
3668,2021-11,['67'],67
3669,2021-11,['94'],94
3670,2021-11,['33'],33
3671,2021-11,['13'],13
3672,2021-11,['44'],44
3673,2021-11,['33'],33
3674,2021-11,['44'],44
3675,2021-11,['94'],94
3676,2021-11,['36'],36
3677,2021-11,['44'],44
3678,2021-11,['76'],76
3679,2021-11,['44'],44
3680,2021-11,['44'],44
3681,2021-11,['15'],15
3682,2021-11,['67'],67
3683,2021-11,['67'],67
3684,2021-11,['15'],15
3685,2021-11,['44'],44
3686,2021-11,['36'],36
3687,2021-11,['91'],91
3688,2021-11,['91'],91
3689,2021-11,['13'],13
3690,2021-11,['63'],63
3691,2021-11,['44'],44
3692,2021-11,['15'],15
3693,2021-11,['13'],13
3694,2021-11,['13'],13
3695,2021-11,['13'],13
3696,2021-11,['13'],13
3697,2021-11,['13'],13
3698,2021-11,['44'],44
3699,2021-11,['34'],34
3700,2021-11,['78'],78
