,departement,statut,Nb_services,territory
989,Paris,1,1,75
990,Paris,1,1,75
991,Paris,1,1,75
992,Paris,1,1,75
993,Paris,1,1,75
994,Paris,1,1,75
995,Paris,1,1,75
996,Paris,1,1,75
997,Paris,1,1,75
998,Paris,1,1,75
999,Paris,1,1,75
1000,Paris,1,1,75
1001,Paris,1,1,75
1002,Paris,1,1,75
1003,Paris,1,1,75
1004,Paris,1,1,75
1005,Paris,1,1,75
1006,Paris,1,1,75
1007,Paris,1,1,75
1008,Paris,1,1,75
1009,Paris,1,1,75
1010,Paris,1,1,75
1011,Paris,1,1,75
1012,Paris,1,1,75
1013,Paris,1,1,75
1014,Paris,1,1,75
1015,Paris,1,1,75
1016,Paris,1,1,75
1017,Paris,1,1,75
1018,Paris,1,1,75
1019,Paris,1,1,75
1020,Paris,1,1,75
1021,Paris,1,1,75
1022,Paris,1,1,75
1023,Paris,1,1,75
1024,Paris,1,1,75
1025,Seine-Saint-Denis,1,1,93
1026,Paris,1,1,75
1027,Paris,1,1,75
1028,Paris,1,1,75
1029,Paris,1,1,75
1030,Paris,1,1,75
1031,Paris,1,1,75
1032,Paris,1,1,75
1033,Paris,1,1,75
1034,Paris,1,1,75
1035,Paris,1,1,75
1036,Paris,1,1,75
1037,Paris,1,1,75
1038,Paris,1,1,75
1039,Paris,1,1,75
1040,Paris,1,1,75
1041,Paris,1,1,75
1042,Paris,1,1,75
1043,Paris,1,1,75
1044,Paris,1,1,75
1045,Paris,1,1,75
1046,Paris,1,1,75
1047,Paris,1,1,75
1048,Paris,1,1,75
1049,Paris,1,1,75
1050,Paris,1,1,75
1051,Paris,1,1,75
1052,Paris,1,1,75
1053,Paris,1,1,75
1054,Paris,1,1,75
1055,Paris,1,1,75
1056,Paris,1,1,75
1057,Paris,1,1,75
1058,Paris,1,1,75
1059,Paris,1,1,75
1060,Paris,1,1,75
1061,Paris,1,1,75
1062,Paris,1,1,75
1063,Paris,1,1,75
1064,Paris,1,1,75
1065,Paris,1,1,75
1066,Paris,1,1,75
1067,Paris,1,1,75
1068,Paris,1,1,75
1069,Paris,1,1,75
1070,Paris,1,1,75
1071,Paris,1,1,75
